,statenum,year,disease,m_rate,p_urb,lnm_rate
367,Arkansas,1943.0,4,0.00048363183,,-7.6341867
368,Arkansas,1943.0,5,9.85845e-05,,-9.224596
369,Arkansas,1943.0,6,0.0006534449,,-7.3332524
370,Arkansas,1943.0,7,0.0016021272,,-6.436423
371,California,1925.0,1,600.0,70.65,6.3969297
372,California,1925.0,2,0.0009595664,70.65,-6.949029
373,California,1925.0,3,1.4059581e-05,70.65,-11.172207
374,California,1925.0,4,0.0013035868,70.65,-6.642636
375,California,1925.0,5,0.00017025274,70.65,-8.678226
376,California,1925.0,6,0.0011625516,70.65,-6.7571383
377,California,1925.0,7,0.0022664485,70.65,-6.0895414
378,California,1926.0,1,560.0,71.18,6.3279366
379,California,1926.0,2,0.0009830242,71.18,-6.9248767
380,California,1926.0,3,1.0257279e-05,71.18,-11.487523
381,California,1926.0,4,0.001217895,71.18,-6.7106314
382,California,1926.0,5,0.00018358437,71.18,-8.602837
383,California,1926.0,6,0.0011848204,71.18,-6.738164
384,California,1926.0,7,0.0022861173,71.18,-6.0809
385,California,1927.0,1,580.0,71.71,6.363028
386,California,1927.0,2,0.000911411,71.71,-7.0005164
387,California,1927.0,3,1.3394283e-05,71.71,-11.220682
388,California,1927.0,4,0.0011986884,71.71,-6.726527
389,California,1927.0,5,0.00018532091,71.71,-8.593422
390,California,1927.0,6,0.001187893,71.71,-6.7355742
391,California,1927.0,7,0.002391779,71.71,-6.035718
392,California,1928.0,1,610.0,72.240005,6.413459
393,California,1928.0,2,0.0012517283,72.240005,-6.68323
394,California,1928.0,3,1.1669787e-05,72.240005,-11.358507
395,California,1928.0,4,0.0011606656,72.240005,-6.7587614
396,California,1928.0,5,0.00018843838,72.240005,-8.576739
397,California,1928.0,6,0.0012289626,72.240005,-6.701585
398,California,1928.0,7,0.002508813,72.240005,-5.9879456
399,California,1929.0,1,570.0,72.770004,6.3456364
400,California,1929.0,2,0.0009860218,72.770004,-6.921832
401,California,1929.0,3,1.7790944e-05,72.770004,-10.936821
402,California,1929.0,4,0.0010768106,72.770004,-6.8337517
403,California,1929.0,5,0.00018763027,72.770004,-8.5810375
404,California,1929.0,6,0.0011943777,72.770004,-6.73013
405,California,1929.0,7,0.0024821118,72.770004,-5.998646
406,California,1930.0,1,510.0,73.3,6.234411
407,California,1930.0,2,0.00083878625,73.3,-7.0835547
408,California,1930.0,3,1.2329911e-05,73.3,-11.303482
409,California,1930.0,4,0.000996433,73.3,-6.911329
410,California,1930.0,5,0.00017895985,73.3,-8.628349
411,California,1930.0,6,0.0012629352,73.3,-6.674317
412,California,1930.0,7,0.0026058387,73.3,-5.950001
413,California,1931.0,1,620.0,73.07,6.4297194
414,California,1931.0,2,0.0008410163,73.07,-7.0808997
415,California,1931.0,3,9.997734e-06,73.07,-11.513152
416,California,1931.0,4,0.00091496506,73.07,-6.9966245
417,California,1931.0,5,0.00019443869,73.07,-8.545394
418,California,1931.0,6,0.0012743664,73.07,-6.665306
419,California,1931.0,7,0.002687322,73.07,-5.91921
420,California,1932.0,1,560.0,72.840004,6.3279366
